4190,
,1.1.1.2.C程式設計,1.1.1.2.C程式設計,,,,,,2.1.1.2.資料結構,2.1.1.2.資料結構,,1.1.1.2.C程式設計,,2.1.1.2.資料結構,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,1.1.1.2.C程式設計,,,1.1.1.2.C程式設計,,,,x,x,x,x,x,x,x,x,x,
,x,x,x,x,x,x,x,x,x,x,,1.1.1.1. 微積分,1.1.1.1. 微積分,,2.1.1.2.線性代數,2.1.1.2.線性代數,,x,x,3.2.1.1Python程式設計,3.2.1.1Python程式設計,,,,,,x,x,,,,,,,,x,x,,,,3.2.1.1Python程式設計,,2.1.1.2.線性代數,1.1.1.1. 微積分,x,
,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3.1.1.1. 微處理機系統,3.1.1.1. 微處理機系統,3.1.1.1. 微處理機系統,x,
,,3.2.1.1. OCE初階資料庫管理師認證,3.2.1.1. OCE初階資料庫管理師認證,,x,x,x,x,x,,3.2.1.1. OCE初階資料庫管理師認證,,,x,x,x,x,x,,,,,x,x,x,x,x,x,x,x,x,,,,,,,,,,x,x,x,x,x,
,,,,,1.2.1.3.視覺化程式邏輯與設計,1.2.1.3.視覺化程式邏輯與設計,x,x,x,2.1.1.3.多媒體技術與應用,2.1.1.3.多媒體技術與應用,,,,,,,x,,,,,1.2.1.3.視覺化程式邏輯與設計,,1.1.1.2.微積分,,x,,,,,,,,,x,,,1.1.1.2.微積分,1.1.1.2.微積分,,2.1.1.3.多媒體技術與應用,,,x,
,,,1.1.1.1.C程式設計,1.1.1.1.C程式設計,,,2.1.1.3.網頁程式設計,,,,,,,,,,,,,,,,,1.1.1.1.C程式設計,,,,,2.1.1.3.網頁程式設計,2.1.1.3.網頁程式設計,,,1.1.1.1.C程式設計,,,1.1.1.1.C程式設計,x,x,x,x,x,x,x,x,x,
,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,3.1.1.1.作業系統概論,3.1.1.1.作業系統概論,,,,2.1.1.3.雲端計算概論,2.2.1.3.機器人程式設計概論,2.2.1.3.機器人程式設計概論,2.1.1.3.雲端計算概論,2.1.1.3.雲端計算概論,,,,,,,,2.2.1.3.機器人程式設計概論,,,,,,,,3.1.1.1.作業系統概論,
,x,,2.1.1.1.資料結構（一）,2.1.1.1.資料結構（一）,,,x,x,x,x,,3.1.1.1.演算法,3.1.1.1.演算法,,,x,x,x,x,,,,,,,,x,x,3.1.1.1.演算法,,,,,,,x,x,,,,,,2.1.1.1.資料結構（一）,,x,
,x,,,,,,x,x,x,x,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,,,,,,,,x,,,,,x,x,x,x,
,1.1.1.1. 計算機概論,1.1.1.1. 計算機概論,,,,,x,x,x,,,,,,,,,,,,1.1.1.1. 計算機概論,,4.2.1.1. 雲端安全概論,,,,,,,,,,,4.2.1.1. 雲端安全概論,4.2.1.1. 雲端安全概論,,x,x,x,x,x,x,x,x,x,
,2.1.1.1.邏輯電路,2.1.1.1.邏輯電路,,,,,,,,,,,,,,,,,,,2.1.1.1.邏輯電路,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,
,,3.1.1.3.應用統計學,3.1.1.3.應用統計學,,,,x,x,x,,,,,,,,,,x,x,x,x,x,x,x,x,x,,,,,,,,3.1.1.3.應用統計學,,x,x,x,x,x,x,x,x,x,
,,,,,3.1.1.2.軟體工程,,x,x,x,x,x,x,x,x,,,3.1.1.1.系統程式,3.1.1.1.系統程式,x,x,x,x,x,,,,,,,,,,3.1.1.2.軟體工程,3.1.1.2.軟體工程,,3.1.1.1.系統程式,x,x,x,x,x,x,x,x,x,
,x,x,x,x,x,x,x,x,x,,2.1.1.1. 線性代數 ,2.1.1.1. 線性代數 ,,,,,,,,,,,,2.1.1.1. 線性代數 ,,,,,,,,,,,,,x,x,x,x,,,,,,
,3.1.1.3.物聯網概論,3.1.1.3.物聯網概論,,,3.1.1.3.電腦網路,3.1.1.3.電腦網路,x,x,x,,3.1.1.4.物聯網資訊處理技術,3.1.1.4.物聯網資訊處理技術,,,,,,,,,,,,,,,,3.1.1.3.電腦網路,,,,,,3.1.1.3.物聯網概論,3.1.1.4.物聯網資訊處理技術,,x,x,x,x,x,x,x,x,x,
